name,yomi,lat,lon,lastchar
尻沢辺村,しりさわべむら,41.753087,140.715357,辺
寺町,てらまち,41.769094,140.707901,寺
富岡町,とみおかちよう,41.769094,140.707901,岡
仲浜町,なかはまちよう,41.769485,140.709671,浜
西浜町,にしはまちよう,41.773281,140.706978,浜
新浜町,しんはままち,41.777077,140.704285,浜
台場町,だいばまち,41.772228,140.699799,場
鰭横町,ひれよこちよう,41.777077,140.704285,横
山ノ上町,やまのうえちよう,41.768703,140.706131,上
天神町,てんじんちよう,41.767274,140.70197,神
神明横町,しんめいよこちよう,41.768703,140.706131,横
茶屋町,ちややまち,41.768703,140.706131,屋
坂町,さかまち,41.767221,140.705299,坂
芝居町,しばいまち,41.767221,140.705299,居
花谷町,はなやちよう,41.767221,140.705299,谷
上新町,かみしんまち,41.765739,140.704468,新
下新町,しもしんまち,41.765739,140.704468,新
仲新町,なかしんまち,41.765739,140.704468,新
元新町,もとしんまち,41.765739,140.704468,新
船見町,ふなみちよう,41.767221,140.705299,見
台町,だいまち,41.765739,140.704468,台
会所町,かいしよまち,41.763983,140.714134,所
下大工町,しもだいくまち,41.763983,140.714134,工
上大工町,かみだいくまち,41.763983,140.714134,工
下汐見町,しもしおみちよう,41.763149,140.712158,見
上汐見町,かみしおみちよう,41.763149,140.712158,見
南新町,みなみしんまち,41.760118,140.714363,新
汐見町,しおみちよう,41.760118,140.714363,見
青柳町,あおやぎちよう,41.757088,140.716568,柳
春日町,かすがちよう,41.757088,140.716568,日
相生町,あいおいちよう,41.76129,140.716507,生
尻沢辺町,しりさわべちよう,41.753087,140.715357,辺
柳町,やなぎまち,41.753859,140.716934,柳
住吉町,すみよしちよう,41.753859,140.716934,吉
赤石町,あかいしちよう,41.757088,140.716568,石
浦町,うらまち,41.750629,140.7173,浦
地蔵町,じぞうまち,41.765936,140.718063,蔵
東浜町,ひがしはまちよう,41.764816,140.71611,浜
堀江町,ほりえちよう,41.764816,140.71611,江
古築島町,ふるつきしまちよう,41.765936,140.718063,島
船場町,ふなばちよう,41.765936,140.718063,場
豊川町,とよかわちよう,41.767056,140.720016,川
汐留町,しおどめちよう,41.767056,140.720016,留
恵比須町,えびすちよう,41.765936,140.718063,須
蔵前町,くらまえどおり・くらまえちよう,41.767056,140.720016,前
龍神町,りゆうじんちよう,41.767056,140.720016,神
西川町,にしかわちよう,41.765984,140.724628,川
東川町,ひがしかわちよう,41.769191,140.730804,川
新川町,しんかわちよう,41.776699,140.737274,川
大森町,おおもりちよう,41.767849,140.734055,森
鶴岡町,つるおかちよう,41.771969,140.725868,岡
