年次	発空港	稚内	釧路	函館	旭川	利尻	帯広	中標津	紋別	女満別	奥尻	新千歳	丘珠	青森	三沢	花巻	仙台	秋田	大館	山形	庄内	福島	百里	成田	羽田	大島	三宅島	八丈島	調布	新島	神津島	青ヶ島	御蔵島	利島	新潟	佐渡	富山	小松	能登	松本	静岡	名古屋	中部	大阪	関西	神戸	但馬	南紀白浜	鳥取	美保	隠岐	出雲	石見	岡山	広島	広島西	山口宇部	岩国	徳島	高松	松山	高知	福岡	北九州	佐賀	長崎	福江	壱岐	対馬	上五島	小値賀	熊本	天草	大分	宮崎	鹿児島	種子島	屋久島	奄美	喜界島	沖永良部	与論	徳之島	那覇	南大東島	久米島	宮古島	石垣	与那国	多良間	北大東島	波照間	粟国	下地島	慶良間
2022年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	356636	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	5210	3817	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	183575	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1149	1546	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	192769	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	5638	1516	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	471640	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	29042	3751	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	452199	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	27711	3363	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	440953	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	27051	1788	5014	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	404407	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	22183	1521	3933	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	395930	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26103	1521	6473	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	旭川	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	4915	392511	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	25166	1547	12988	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	旭川	***	***	196	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	36818	375452	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26947	2144	13050	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	旭川	***	***	1150	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	83154	333779	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	24577	1966	26142	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	旭川	***	***	2245	***	***	***	***	***	***	***	31647	***	***	***	***	***	***	***	***	***	***	***	12475	327488	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	27181	1678	15750	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	旭川	***	***	5268	***	***	***	***	***	***	***	12450	***	***	***	***	***	***	***	***	***	***	***	***	456765	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	30403	5445	11182	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	旭川	***	***	5936	***	***	***	***	***	***	***	3045	***	***	***	***	***	***	***	***	***	***	***	***	451520	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	27510	4523	29303	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
